Composition,Ground State Phase,Competing Phases,Î”fH,Decomposition Energy
Al2O3,Al2O3,"alpha-Al2O3 (corundum), gamma-Al2O3",-1675.7 kJ/mol,N/A
LiFeO2,LiFeO2,Li2O + Fe2O3,N/A,N/A
NaCl,NaCl,Na + Cl2,-411 kJ/mol,N/A
CaF2,CaF2,Ca + CaF2,N/A,N/A
Cu2MnAl,Cu2MnAl,"CuAl2, CuMn2, and Al",N/A,N/A
FeO,FeO,Fe + Fe3O4,N/A,N/A
Si,Si,SiO2 and Si3N4,0,N/A
C,C,"graphite, diamond, lonsdaleite, chaoite, carbon nanofoam, fullerene, graphene, and carbon nanotubes",0,N/A
Al2Cu,Al2Cu,Al + CuAl2,N/A,N/A
AlCu,AlCu,Al2Cu + Al3Cu4,N/A,N/A